LineId,Time,EventId,Level,EventTemplate,Content,Component,Date,Node,LogSource
1,Sun Dec 04 04:47:44 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
2,Sun Dec 04 04:47:44 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
3,Sun Dec 04 04:51:08 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6725 in scoreboard slot 10,,,,Apache
4,Sun Dec 04 04:51:09 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6726 in scoreboard slot 8,,,,Apache
5,Sun Dec 04 04:51:09 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6728 in scoreboard slot 6,,,,Apache
6,Sun Dec 04 04:51:14 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
7,Sun Dec 04 04:51:14 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
8,Sun Dec 04 04:51:14 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
9,Sun Dec 04 04:51:18 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
10,Sun Dec 04 04:51:18 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
11,Sun Dec 04 04:51:18 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
12,Sun Dec 04 04:51:37 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6736 in scoreboard slot 10,,,,Apache
13,Sun Dec 04 04:51:38 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6733 in scoreboard slot 7,,,,Apache
14,Sun Dec 04 04:51:38 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6734 in scoreboard slot 9,,,,Apache
15,Sun Dec 04 04:51:52 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
16,Sun Dec 04 04:51:52 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
17,Sun Dec 04 04:51:55 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
18,Sun Dec 04 04:52:04 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6738 in scoreboard slot 6,,,,Apache
19,Sun Dec 04 04:52:04 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6741 in scoreboard slot 9,,,,Apache
20,Sun Dec 04 04:52:05 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6740 in scoreboard slot 7,,,,Apache
21,Sun Dec 04 04:52:05 2005,E1,notice,jk2_init() Found child <*> in scoreboard slot <*>,jk2_init() Found child 6737 in scoreboard slot 8,,,,Apache
22,Sun Dec 04 04:52:12 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
23,Sun Dec 04 04:52:12 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
24,Sun Dec 04 04:52:12 2005,E2,notice,workerEnv.init() ok <*>,workerEnv.init() ok /etc/httpd/conf/workers2.properties,,,,Apache
25,Sun Dec 04 04:52:15 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 6,,,,Apache
26,Sun Dec 04 04:52:15 2005,E3,error,mod_jk child workerEnv in error state <*>,mod_jk child workerEnv in error state 7,,,,Apache
