log_id,router,dataset_name,destination,raw_destination,compliance_forced,routing_latency_ms,backend_write_latency_ms,total_latency_ms,success,energy_cpu_pkg_j,payload_bytes,sensitive,proc_cpu_pct,proc_rss_mb
1,a2c,Loghub-zenodo_Logs,mysql,mysql,False,1.279572956264019,21.626185975037515,22.905758931301534,True,0.551084,55,False,230.6,967.938048
2,a2c,Loghub-zenodo_Logs,mysql,mysql,False,1.0258310358040035,4.883952031377703,5.909783067181706,True,0.119019,40,False,202.5,970.571776
3,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7759919972158968,7.525112014263868,8.301104011479765,True,0.187378,72,False,264.4,970.571776
4,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7229559705592692,6.855325016658753,7.578280987218022,True,0.185851,61,False,290.1,970.575872
5,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6591039709746838,7.553534989710897,8.212638960685581,True,0.192565,47,False,263.4,970.579968
6,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6333980127237737,6.7792710033245385,7.412669016048312,True,0.192198,172,False,293.1,970.579968
7,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.620076956693083,6.73871801700443,7.358794973697513,True,0.19635,27,False,295.0,970.596352
8,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6461080047301948,6.670624017715454,7.316732022445649,True,0.165465,39,False,446.9,970.616832
9,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.5782759981229901,6.945991015527397,7.5242670136503875,True,0.195006,40,False,286.4,970.625024
10,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.621042971033603,6.315177015494555,6.936219986528158,True,0.164245,22,False,472.2,970.637312
11,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6202009972184896,5.421074980404228,6.041275977622718,True,0.143493,64,False,183.2,970.6496
12,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6099650054238737,6.485329009592533,7.095294015016407,True,0.173584,32,False,306.7,970.657792
13,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6275959894992411,6.774312991183251,7.401908980682492,True,0.196289,167,False,293.3,970.674176
14,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7709299679845572,6.463395024184138,7.234324992168695,True,0.18689,46,False,461.1,970.69056
15,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7252240320667624,5.421050998847932,6.146275030914694,True,0.173217,49,False,183.0,970.698752
16,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6123039638623595,6.953446951229125,7.565750915091485,True,0.164672,40,False,286.1,970.706944
17,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6530579994432628,6.347757007461041,7.000815006904304,True,0.171509,150,False,469.5,970.71104
18,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6425869651138783,6.250130012631416,6.892716977745295,True,0.18988,121,False,318.0,970.723328
19,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6385190063156188,5.514105025213212,6.1526240315288305,True,0.174804,34,False,360.3,970.73152
20,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.672877999022603,6.8231460172683,7.496024016290903,True,0.168944,170,False,291.5,970.743808
21,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.659722019918263,6.617564999032766,7.277287018951029,True,0.201781,26,False,300.5,970.756096
22,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6945299683138728,6.845102994702756,7.539632963016629,True,0.166809,48,False,435.7,970.768384
23,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6259600049816072,7.3497690027579665,7.975729007739574,True,0.197753,40,False,270.5,970.77248
24,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7167079602368176,5.898561968933791,6.6152699291706085,True,0.138183,29,False,505.0,970.784768
25,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6630150019191206,5.475074984133244,6.138089986052364,True,0.149291,63,False,181.3,970.797056
26,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6243169773370028,6.441951030865312,7.066268008202314,True,0.187254,152,False,463.0,970.81344
27,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.669177039526403,5.567268992308527,6.23644603183493,True,0.14386,167,False,356.6,970.825728
28,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.652774004265666,5.691118014510721,6.343892018776387,True,0.162048,46,False,174.6,970.846208
29,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6218159687705338,6.422739999834448,7.044555968604982,True,0.171875,48,False,464.0,970.8544
30,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7065579993650317,7.033697969745845,7.740255969110876,True,0.173949,40,False,282.5,970.866688
31,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7941859657876194,6.2591409659944475,7.053326931782067,True,0.162475,34,False,317.4,970.883072
32,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7290590438060462,6.6170659847557545,7.346125028561801,True,0.173949,64,False,450.5,970.899456
33,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7577329524792731,6.874695012811571,7.632427965290844,True,0.195555,32,False,289.1,970.907648
34,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.8486539591103792,6.402237981092185,7.250891940202564,True,0.172789,39,False,155.1,970.907648
35,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6914419936947525,5.458389001432806,6.149830995127559,True,0.167968,26,False,182.0,970.919936
36,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6201739888638258,5.7516930392012,6.371867028065026,True,0.138488,55,False,345.4,970.919936
37,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6907159695401788,5.796156998258084,6.486872967798263,True,0.169189,38,False,342.0,970.919936
38,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6573730497621,6.309231976047158,6.966605025809258,True,0.175781,77,False,315.0,970.93632
39,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.668765977025032,5.675647989846766,6.344413966871798,True,0.150329,121,False,524.9,970.948608
40,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.610667048022151,5.662369017954916,6.273036065977067,True,0.178893,34,False,175.4,970.9568
41,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6707150023430586,6.646463007200509,7.317178009543568,True,0.168884,40,False,299.3,970.960896
42,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6892689852975309,6.6480160458013415,7.337285031098872,True,0.176391,57,False,299.2,970.981376
43,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.5944590084254742,7.894341018982232,8.488800027407706,True,0.193053,55,False,252.0,970.989568
44,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.8888570009730756,6.212832988239825,7.1016899892129,True,0.175354,38,False,319.5,970.993664
45,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7638889946974814,5.502795975189656,6.266684969887137,True,0.139892,138,False,541.0,971.005952
46,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6894279504194856,5.917259957641363,6.606687908060849,True,0.164183,121,False,167.8,971.014144
47,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6077010184526443,5.504771019332111,6.112472037784755,True,0.143127,152,False,360.6,971.022336
48,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6599510088562965,5.7203390169888735,6.38029002584517,True,0.137085,45,False,347.1,971.030528
49,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6890709628351033,6.958445010241121,7.647515973076224,True,0.208556,46,False,142.9,971.046912
50,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7114540203474462,6.6601529833860695,7.371607003733516,True,0.19757,55,False,298.3,971.055104
51,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7965949480421841,6.747597013600171,7.544191961642355,True,0.173645,34,False,294.5,971.063296
52,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.9289889712817967,7.390444981865585,8.319433953147382,True,0.192199,151,False,402.7,971.067392
53,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7899919874034822,7.129428966436535,7.919420953840017,True,0.199462,120,False,139.5,971.087872
54,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.8562079747207463,6.940917985048145,7.797125959768891,True,0.194762,19,False,143.2,971.10016
55,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.69952302146703,6.455484020989388,7.155007042456418,True,0.186401,51,False,308.1,971.112448
56,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6732780020684004,5.585848994087428,6.259126996155828,True,0.148315,57,False,533.5,971.12064
57,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6266880081966519,5.600353004410863,6.227041012607515,True,0.172058,39,False,177.5,971.12064
58,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.6759149837307632,6.796824047341943,7.472739031072706,True,0.163756,94,False,438.5,971.132928
59,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.8023879490792751,7.271319977007806,8.073707926087081,True,0.189087,153,False,273.3,971.145216
60,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7371380343101919,7.061120995786041,7.798259030096233,True,0.16626,62,False,281.5,971.1616
61,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7105219992808998,7.04579398734495,7.75631598662585,True,0.202636,17,False,282.1,971.169792
62,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.680904951877892,7.398308953270316,8.079213905148208,True,0.232055,49,False,268.8,971.18208
63,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.608158006798476,7.182689965702593,7.790847972501069,True,0.200989,46,False,414.9,971.190272
64,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.8251969702541828,6.653563003055751,7.478759973309934,True,0.167114,39,False,447.7,971.194368
65,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7503040251322091,7.080190989654511,7.83049501478672,True,0.207153,94,False,280.7,971.194368
66,a2c,Loghub-zenodo_Logs,mysql,mysql,False,1.0984569671563804,6.488085025921464,7.586541993077844,True,0.256713,167,False,457.4,971.198464
67,a2c,Loghub-zenodo_Logs,mysql,mysql,False,1.0859070462174714,8.087216003332287,9.173123049549758,True,0.283936,74,False,245.4,971.206656
68,a2c,Loghub-zenodo_Logs,mysql,mysql,False,1.0541289811953902,6.2310119974426925,7.285140978638083,True,0.176269,100,False,318.5,971.22304
69,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.8472220506519079,5.505258042830974,6.352480093482882,True,0.15863,45,False,180.3,971.239424
70,a2c,Loghub-zenodo_Logs,mysql,mysql,False,0.7396299624815583,5.4332229774445295,6.172852939926088,True,0.177368,26,False,365.5,971.247616
