log_id,router,dataset_name,destination,raw_destination,compliance_forced,routing_latency_ms,backend_write_latency_ms,total_latency_ms,success,energy_cpu_pkg_j,payload_bytes,sensitive,proc_cpu_pct,proc_rss_mb
1,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.013250974006950855,22.82670501153916,22.839955985546112,True,0.465575,55,False,43.7,902.586368
2,cbr,Loghub-zenodo_Logs,ipfs,ipfs,False,0.007570954039692879,0.22415502462536097,0.23172597866505384,True,0.0,40,False,0.0,905.957376
3,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0037120189517736435,5.768341012299061,5.7720530312508345,True,0.114563,72,False,0.0,905.957376
4,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.00467000063508749,6.179298972710967,6.1839689733460546,True,0.095642,61,False,0.0,905.957376
5,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004394969437271357,5.110601952765137,5.114996922202408,True,0.068969,47,False,0.0,905.969664
6,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004525994881987572,6.5702180145308375,6.574744009412825,True,0.093932,172,False,0.0,905.969664
7,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0038580037653446198,5.436971958260983,5.440829962026328,True,0.098022,27,False,0.0,905.969664
8,cbr,Loghub-zenodo_Logs,elk,elk,False,0.003951019607484341,8.159270975738764,8.163221995346248,True,0.164184,39,False,122.1,905.969664
9,cbr,Loghub-zenodo_Logs,ipfs,ipfs,False,0.004263012669980526,0.22637000074610114,0.23063301341608167,True,0.0,40,False,0.0,906.010624
10,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0029450166039168835,6.703941035084426,6.706886051688343,True,0.12384,22,False,0.0,906.010624
11,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0052480027079582214,8.664358989335597,8.669606992043555,True,0.189147,64,False,0.0,906.01472
12,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.006004993338137865,6.633971992414445,6.6399769857525826,True,0.211793,32,False,0.0,906.01472
13,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.005483976565301418,9.452247992157936,9.457731968723238,True,0.173583,167,False,0.0,906.01472
14,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.005691021215170622,14.045234012883157,14.050925034098327,True,0.233458,46,False,0.0,906.01472
15,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004476984031498432,11.306478001642972,11.31095498567447,True,0.185363,49,False,0.0,906.01472
16,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004052009899169207,10.353463992942125,10.357516002841294,True,0.161621,40,False,0.0,906.01472
17,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003570981789380312,12.935830978676677,12.939401960466057,True,0.188293,150,False,0.0,906.01472
18,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003595021553337574,11.054428003262728,11.058023024816066,True,0.155334,121,False,0.0,906.01472
19,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0028040376491844654,11.185634008143097,11.188438045792282,True,0.172606,34,False,0.0,906.01472
20,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0029510119929909706,12.958798033650964,12.961749045643955,True,0.203857,170,False,0.0,906.01472
21,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003230990841984749,12.174600036814809,12.177831027656794,True,0.186585,26,False,0.0,906.018816
22,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002689019311219454,10.957313992548734,10.960003011859953,True,0.166259,48,False,0.0,906.018816
23,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0034829718060791492,9.215908998157829,9.219391969963908,True,0.156066,40,False,0.0,906.018816
24,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003728026058524847,9.384214004967362,9.387942031025887,True,0.13916,29,False,0.0,906.018816
25,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0032910029403865337,6.791662017349154,6.79495302028954,True,0.110596,63,False,0.0,906.018816
26,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002201995812356472,5.993225029669702,5.9954270254820585,True,0.099365,152,False,0.0,906.018816
27,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002663000486791134,6.8371150409802794,6.839778041467071,True,0.10321,167,False,0.0,906.018816
28,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0021160230971872807,5.388624966144562,5.390740989241749,True,0.083984,46,False,184.8,906.018816
29,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002402986865490675,6.97089999448508,6.973302981350571,True,0.199889,48,False,0.0,906.018816
30,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004191009793430567,6.730211025569588,6.7344020353630185,True,0.183227,40,False,0.0,906.018816
31,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.005343987140804529,5.6564430124126375,5.661786999553442,True,0.140991,34,False,0.0,906.027008
32,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0037919962778687477,6.600108987186104,6.603900983463973,True,0.201965,64,False,0.0,906.027008
33,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003947003278881311,5.5590299889445305,5.562976992223412,True,0.143493,32,False,0.0,906.027008
34,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002874992787837982,7.065918005537242,7.06879299832508,True,0.256774,39,False,0.0,906.027008
35,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004781002644449472,6.034614983946085,6.0393959865905344,True,0.175781,26,False,0.0,906.027008
36,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0029060174711048603,5.5681439698673785,5.571049987338483,True,0.146483,55,False,0.0,906.027008
37,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0031599774956703186,7.554587966296822,7.557747943792492,True,0.22235,38,False,0.0,906.027008
38,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004188972525298595,5.644685996230692,5.64887496875599,True,0.176637,77,False,0.0,906.027008
39,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002978951670229435,7.524838030803949,7.527816982474178,True,0.200194,121,False,0.0,906.027008
40,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0035130069591104984,8.40536697069183,8.40887997765094,True,0.22888,34,False,0.0,906.027008
41,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0037240097299218178,8.202496042940766,8.206220052670687,True,0.225768,40,False,0.0,906.031104
42,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0035170232877135277,5.87227800861001,5.875795031897724,True,0.155761,57,False,0.0,906.031104
43,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0029159709811210632,6.399015022907406,6.401930993888527,True,0.194764,55,False,0.0,906.031104
44,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003063003532588482,5.498643033206463,5.501706036739051,True,0.140502,38,False,0.0,906.031104
45,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.00285095302388072,6.859623012132943,6.862473965156823,True,0.171082,138,False,0.0,906.0352
46,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0034850090742111206,5.670567974448204,5.674052983522415,True,0.169127,121,False,0.0,906.0352
47,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003330991603434086,6.4766519935801625,6.479982985183597,True,0.201294,152,False,0.0,906.0352
48,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0028310460038483143,5.323791992850602,5.32662303885445,True,0.144836,45,False,0.0,906.0352
49,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0026009511202573776,6.659089005552232,6.66168995667249,True,0.198669,46,False,0.0,906.0352
50,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0024329638108611107,5.650352977681905,5.652785941492766,True,0.145507,55,False,0.0,906.0352
51,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003390014171600342,6.484317011199892,6.487707025371492,True,0.19403,34,False,0.0,906.039296
52,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003123015630990267,5.386308010201901,5.3894310258328915,True,0.163391,151,False,0.0,906.039296
53,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0034520053304731846,6.900895037688315,6.904347043018788,True,0.207397,120,False,0.0,906.043392
54,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0035500270314514637,5.795636971015483,5.799186998046935,True,0.146911,19,False,0.0,906.043392
55,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0030840164981782436,7.1255550137721,7.1286390302702785,True,0.225402,51,False,0.0,906.043392
56,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004148983862251043,5.582657002378255,5.586805986240506,True,0.143615,57,False,0.0,906.043392
57,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003269989974796772,7.1952929720282555,7.198562962003052,True,0.197997,39,False,0.0,906.043392
58,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0038889702409505844,5.852200964000076,5.856089934241027,True,0.155761,94,False,0.0,906.043392
59,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0033460091799497604,6.981757003813982,6.985103012993932,True,0.191223,153,False,0.0,906.043392
60,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0032869866117835045,5.273767979815602,5.277054966427386,True,0.143554,62,False,188.4,906.043392
61,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0027199857868254185,6.587423966266215,6.59014395205304,True,0.205322,17,False,0.0,906.047488
62,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0037609715946018696,5.503594991751015,5.507355963345617,True,0.144103,49,False,0.0,906.047488
63,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002735003363341093,6.699257006403059,6.7019920097664,True,0.168884,46,False,0.0,906.047488
64,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002903980202972889,5.502232001163065,5.505135981366038,True,0.179748,39,False,0.0,906.047488
65,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.00373797956854105,7.41591997211799,7.419657951686531,True,0.193482,94,False,0.0,906.047488
66,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003956956788897514,6.671431998256594,6.6753889550454915,True,0.168029,167,False,0.0,906.051584
67,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003634020686149597,6.661519990302622,6.665154010988772,True,0.200683,74,False,0.0,906.051584
68,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0038080033846199512,16.257038980256766,16.260846983641386,True,0.444091,100,False,0.0,906.051584
69,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.005526002496480942,34.1891769785434,34.19470298103988,True,0.93353,45,False,29.2,906.051584
70,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004530011210590601,17.471151950303465,17.475681961514056,True,0.467894,26,False,0.0,906.051584
71,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.005057023372501135,16.06962498044595,16.074682003818452,True,0.462097,39,False,0.0,906.05568
72,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004300964064896107,14.94951598579064,14.953816949855536,True,0.41931,35,False,0.0,906.05568
73,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0042460160329937935,13.936799019575119,13.941045035608113,True,0.355712,152,False,0.0,906.05568
74,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004405970685184002,15.837176993954927,15.84158296464011,True,0.450499,76,False,0.0,906.05568
75,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004616973455995321,14.441600011195987,14.446216984651983,True,0.375976,70,False,0.0,906.05568
76,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0038489815779030323,14.013772015459836,14.017620997037739,True,0.391722,125,False,0.0,906.05568
77,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004877976607531309,16.082074958831072,16.086952935438603,True,0.447692,26,False,0.0,906.059776
78,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004383968189358711,13.353643997106701,13.35802796529606,True,0.371948,49,False,0.0,906.059776
79,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004281988367438316,12.756105978041887,12.760387966409326,True,0.379332,20,False,0.0,906.059776
80,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004217959940433502,7.099831011146307,7.1040489710867405,True,0.201965,166,False,0.0,906.059776
81,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003856024704873562,5.444868991617113,5.448725016321987,True,0.15039,88,False,0.0,906.063872
82,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003335007932037115,6.867318996228278,6.870654004160315,True,0.170654,149,False,0.0,906.063872
83,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0029410002753138542,5.6846680236049,5.6876090238802135,True,0.144288,76,False,0.0,906.063872
84,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0030479859560728073,7.439239008817822,7.4422869947738945,True,0.226561,57,False,0.0,906.063872
85,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0027820351533591747,5.389200989156961,5.391983024310321,True,0.149902,48,False,0.0,906.063872
86,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002844957634806633,6.632848992012441,6.635693949647248,True,0.198364,19,False,0.0,906.067968
87,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0029879738576710224,5.447121046017855,5.450109019875526,True,0.145752,166,False,0.0,906.067968
88,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.002702989149838686,7.568779983557761,7.571482972707599,True,0.226805,94,False,0.0,906.067968
89,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0030189985409379005,6.593552010599524,6.596571009140462,True,0.197449,41,False,0.0,906.067968
90,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004836998414248228,6.4849870395846665,6.489824037998915,True,0.175109,93,False,0.0,906.067968
91,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004842004273086786,6.010899029206485,6.015741033479571,True,0.170105,46,False,0.0,906.072064
92,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004408997483551502,7.640374999027699,7.644783996511251,True,0.203612,48,False,0.0,906.072064
93,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004593981429934502,6.8814599653705955,6.88605394680053,True,0.122803,19,False,0.0,906.072064
94,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004173954948782921,5.652957013808191,5.657130968756974,True,0.097229,170,False,0.0,906.072064
95,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0037390273064374924,7.320183038245887,7.323922065552324,True,0.114135,120,False,0.0,906.072064
96,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0033570104278624058,6.987423985265195,6.990780995693058,True,0.093628,70,False,0.0,906.072064
97,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.003648048732429743,6.847865995950997,6.851514044683427,True,0.112365,82,False,0.0,906.072064
98,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0027919886633753777,6.130850000772625,6.133641989436001,True,0.11322,57,False,0.0,906.07616
99,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0035919947549700737,7.242104038596153,7.245696033351123,True,0.183654,55,False,137.5,906.07616
100,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004559988155961037,7.393399020656943,7.397959008812904,True,0.207946,19,False,0.0,906.080256
101,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.005399982910603285,7.0178869646042585,7.023286947514862,True,0.141297,44,False,0.0,906.084352
102,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.0045720371417701244,5.817761004436761,5.822333041578531,True,0.083984,93,False,0.0,906.084352
103,cbr,Loghub-zenodo_Logs,mysql,mysql,False,0.004335015546530485,7.812881958670914,7.817216974217445,True,0.123107,35,False,0.0,906.084352
