log_id,router,dataset_name,destination,raw_destination,sensitive,blockchain_hash,blockchain_tx_hash,routing_latency_ms,backend_write_latency_ms,total_latency_ms,success,energy_cpu_pkg_j,payload_bytes,proc_cpu_pct,proc_rss_mb,level,component,log_source,content,event_template
1,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0027040005079470575,4.609183997672517,4.611887998180464,True,0.0,55,0.0,858.431488,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
2,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0006970003596507013,21.57282899861457,21.57352599897422,True,0.0,39,0.0,858.43968,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
3,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.00046399509301409125,4.628974995284807,4.629438990377821,True,0.0,49,0.0,858.447872,notice,nan,Apache,jk2_init() Found child 6725 in scoreboard slot 10,jk2_init() Found child <*> in scoreboard slot <*>
4,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0007279959390871227,5.388653000409249,5.389380996348336,True,0.0,48,0.0,858.46016,notice,nan,Apache,jk2_init() Found child 6726 in scoreboard slot 8,jk2_init() Found child <*> in scoreboard slot <*>
5,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0007109993021003902,4.7385990037582815,4.739310003060382,True,0.0,48,0.0,858.468352,notice,nan,Apache,jk2_init() Found child 6728 in scoreboard slot 6,jk2_init() Found child <*> in scoreboard slot <*>
6,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.00036400160752236843,4.129968001507223,4.130332003114745,True,0.0,55,0.0,858.472448,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
7,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0003629975253716111,3.9141300003393553,3.914492997864727,True,0.01758274375,55,0.0,858.472448,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
8,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.00033800461096689105,3.9262529971892945,3.9265910018002614,True,0.0,55,0.0,858.472448,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
9,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0003440000000409782,4.012010002043098,4.012354002043139,True,0.0,39,0.0,858.472448,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
10,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0003360037226229906,7.2533529964857735,7.2536890002083965,True,0.0,39,0.0,858.476544,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
11,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0005180045263841748,4.2513179942034185,4.251835998729803,True,0.0,39,0.0,858.48064,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
12,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.00036400160752236843,4.096102995390538,4.0964669969980605,True,0.0,49,0.0,858.48064,notice,nan,Apache,jk2_init() Found child 6736 in scoreboard slot 10,jk2_init() Found child <*> in scoreboard slot <*>
13,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0003940003807656467,4.020269996544812,4.0206639969255775,True,0.02226506625,48,0.0,858.48064,notice,nan,Apache,jk2_init() Found child 6733 in scoreboard slot 7,jk2_init() Found child <*> in scoreboard slot <*>
14,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0002849992597475648,3.9426119983545505,3.942896997614298,True,0.0,48,0.0,858.484736,notice,nan,Apache,jk2_init() Found child 6734 in scoreboard slot 9,jk2_init() Found child <*> in scoreboard slot <*>
15,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0006659975042566657,4.635833996871952,4.636499994376209,True,0.0,55,0.0,858.484736,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
16,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0005219990271143615,5.315259004419204,5.315781003446318,True,0.030020712499999994,55,0.0,858.488832,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
17,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0005490001058205962,4.965529995388351,4.966078995494172,True,0.0,39,0.0,858.488832,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
18,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0007869966793805361,4.354639997472987,4.355426994152367,True,0.0257389955,48,0.0,858.488832,notice,nan,Apache,jk2_init() Found child 6738 in scoreboard slot 6,jk2_init() Found child <*> in scoreboard slot <*>
19,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.00034600088838487864,4.320911997638177,4.321257998526562,True,0.0,48,0.0,858.488832,notice,nan,Apache,jk2_init() Found child 6741 in scoreboard slot 9,jk2_init() Found child <*> in scoreboard slot <*>
20,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0002890010364353657,3.9988900025491603,3.9991790035855956,True,0.0,48,0.0,858.492928,notice,nan,Apache,jk2_init() Found child 6740 in scoreboard slot 7,jk2_init() Found child <*> in scoreboard slot <*>
21,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.000972002453636378,4.443814003025182,4.444786005478818,True,0.0,48,0.0,858.497024,notice,nan,Apache,jk2_init() Found child 6737 in scoreboard slot 8,jk2_init() Found child <*> in scoreboard slot <*>
22,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0006800037226639688,8.877319000021089,8.877999003743753,True,0.0,55,0.0,858.50112,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
23,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.00040200393414124846,4.689490000600927,4.689892004535068,True,0.0,55,0.0,858.50112,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
24,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0004429966793395579,4.655994001950603,4.6564369986299425,True,0.030225730125000003,55,0.0,858.50112,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
25,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.0003770037437789142,4.398524004500359,4.398901008244138,True,0.0,39,0.0,858.50112,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
26,direct_clickhouse,loghub,clickhouse,clickhouse,False,,,0.000500003807246685,5.785809000371955,5.786309004179202,True,0.0,39,0.0,858.50112,error,nan,Apache,mod_jk child workerEnv in error state 7,mod_jk child workerEnv in error state <*>
