log_id,router,dataset_name,destination,raw_destination,compliance_forced,routing_latency_ms,backend_write_latency_ms,total_latency_ms,success,energy_cpu_pkg_j,payload_bytes,sensitive,proc_cpu_pct,proc_rss_mb
1,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0016869744285941124,18.377600994426757,18.37928796885535,True,0.746213,55,False,0.0,902.51264
2,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0009480281732976437,36.91399097442627,36.91493900259957,True,1.063597,40,False,0.0,902.627328
3,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0004239846020936966,11.903636972419918,11.904060957022011,True,0.466856,72,False,0.0,902.631424
4,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0004359753802418709,17.67751097213477,17.67794694751501,True,0.504393,61,False,56.4,902.63552
5,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00043300678953528404,21.964968007523566,21.9654010143131,True,0.669065,47,False,0.0,902.63552
6,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0005309702828526497,10.596888954751194,10.597419925034046,True,0.3078,172,False,0.0,902.639616
7,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0008139759302139282,12.753082031849772,12.753896007779986,True,0.337707,27,False,0.0,902.647808
8,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0004820176400244236,15.780296991579235,15.780779009219259,True,0.470946,39,False,0.0,902.647808
9,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0005750334821641445,16.12100302008912,16.121578053571284,True,0.465148,40,False,0.0,902.647808
10,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0006810296326875687,10.934200952760875,10.934881982393563,True,0.330688,22,False,0.0,902.647808
11,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00047101639211177826,7.130854995921254,7.131326012313366,True,0.181273,64,False,0.0,902.651904
12,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00037800054997205734,10.209147003479302,10.209525004029274,True,0.296264,32,False,0.0,902.656
13,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0005050096660852432,8.788931998424232,8.789437008090317,True,0.256958,167,False,0.0,902.656
14,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.000400003045797348,7.910425018053502,7.910825021099299,True,0.311949,46,False,0.0,902.656
15,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00048498623073101044,6.639275001361966,6.639759987592697,True,0.218933,49,False,0.0,902.656
16,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00045803608372807503,5.366308963857591,5.366766999941319,True,0.157775,40,False,185.4,902.656
17,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00037997961044311523,4.932211013510823,4.932590993121266,True,0.146363,150,False,0.0,902.656
18,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0004169996827840805,5.0642000278458,5.064617027528584,True,0.163207,121,False,0.0,902.664192
19,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00038999132812023163,5.0363579648546875,5.036747956182808,True,0.153626,34,False,0.0,902.664192
20,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00037800054997205734,4.7402060008607805,4.7405840014107525,True,0.119018,170,False,0.0,902.664192
21,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00038999132812023163,4.928228037897497,4.928618029225618,True,0.126465,26,False,0.0,902.668288
22,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0003440072759985924,5.016617011278868,5.016961018554866,True,0.162658,48,False,0.0,902.668288
23,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.000392028596252203,5.098537018056959,5.098929046653211,True,0.146118,40,False,0.0,902.668288
24,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0003390014171600342,5.236514029093087,5.236853030510247,True,0.159911,29,False,0.0,902.668288
25,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0004980247467756271,5.220755003392696,5.221253028139472,True,0.143921,63,False,0.0,902.672384
26,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.00039604492485523224,4.975195042788982,4.975591087713838,True,0.152465,152,False,0.0,902.672384
27,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0004420289769768715,5.209967959672213,5.2104099886491895,True,0.154786,167,False,0.0,902.672384
28,direct_elk,Loghub-zenodo_Logs,elk,elk,False,0.0004600151441991329,5.178319988772273,5.178780003916472,True,0.147521,46,False,0.0,902.672384
