log_id,router,dataset_name,destination,raw_destination,sensitive,blockchain_hash,blockchain_tx_hash,routing_latency_ms,backend_write_latency_ms,total_latency_ms,success,energy_cpu_pkg_j,payload_bytes,proc_cpu_pct,proc_rss_mb,level,component,log_source,content,event_template
1,direct_minio,loghub,minio,minio,False,,,0.002983004378620535,0.15837999671930447,0.161363001097925,True,0.0,55,0.0,866.28352,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
2,direct_minio,loghub,minio,minio,False,,,0.0007390044629573822,0.08427300053881481,0.0850120050017722,True,0.0,39,0.0,866.287616,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
3,direct_minio,loghub,minio,minio,False,,,0.00016500416677445173,0.07016200106590986,0.07032700523268431,True,0.0,49,0.0,866.291712,notice,nan,Apache,jk2_init() Found child 6725 in scoreboard slot 10,jk2_init() Found child <*> in scoreboard slot <*>
4,direct_minio,loghub,minio,minio,False,,,0.0001809967216104269,0.08777900075074285,0.08795999747235328,True,0.0,48,0.0,866.291712,notice,nan,Apache,jk2_init() Found child 6726 in scoreboard slot 8,jk2_init() Found child <*> in scoreboard slot <*>
5,direct_minio,loghub,minio,minio,False,,,0.000357002136297524,0.0683190010022372,0.06867600313853472,True,0.0,48,0.0,866.291712,notice,nan,Apache,jk2_init() Found child 6728 in scoreboard slot 6,jk2_init() Found child <*> in scoreboard slot <*>
6,direct_minio,loghub,minio,minio,False,,,0.0001630032784305513,0.06465199840022251,0.06481500167865306,True,0.0,55,0.0,866.295808,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
7,direct_minio,loghub,minio,minio,False,,,0.00015200203051790595,0.06514700362458825,0.06529900565510616,True,0.0,55,0.0,866.299904,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
8,direct_minio,loghub,minio,minio,False,,,0.00018299760995432734,0.0626479959464632,0.06283099355641752,True,0.0,55,0.0,866.304,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
9,direct_minio,loghub,minio,minio,False,,,0.00014599936548620462,0.056237993703689426,0.05638399306917563,True,0.0,39,0.0,866.304,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
10,direct_minio,loghub,minio,minio,False,,,0.00013800308806821704,0.056277000112459064,0.05641500320052728,True,0.0,39,0.0,866.304,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
11,direct_minio,loghub,minio,minio,False,,,0.00015200203051790595,0.05601000157184899,0.056162003602366894,True,0.0,39,0.0,866.304,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
12,direct_minio,loghub,minio,minio,False,,,0.0001550070010125637,0.05641100142383948,0.05656600842485204,True,0.0,49,0.0,866.308096,notice,nan,Apache,jk2_init() Found child 6736 in scoreboard slot 10,jk2_init() Found child <*> in scoreboard slot <*>
13,direct_minio,loghub,minio,minio,False,,,0.00013899989426136017,0.05551699723582715,0.05565599713008851,True,0.0,48,0.0,866.308096,notice,nan,Apache,jk2_init() Found child 6733 in scoreboard slot 7,jk2_init() Found child <*> in scoreboard slot <*>
14,direct_minio,loghub,minio,minio,False,,,0.00014599936548620462,0.05508899630513042,0.05523499567061663,True,0.0,48,0.0,866.308096,notice,nan,Apache,jk2_init() Found child 6734 in scoreboard slot 9,jk2_init() Found child <*> in scoreboard slot <*>
15,direct_minio,loghub,minio,minio,False,,,0.00012300006346777081,0.05521400453289971,0.05533700459636748,True,0.0,55,0.0,866.308096,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
16,direct_minio,loghub,minio,minio,False,,,0.0001360021997243166,0.056887001846916974,0.05702300404664129,True,0.0,55,0.0,866.308096,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
17,direct_minio,loghub,minio,minio,False,,,0.00013400131138041615,0.06075100100133568,0.0608850023127161,True,0.0,39,0.0,866.312192,error,nan,Apache,mod_jk child workerEnv in error state 6,mod_jk child workerEnv in error state <*>
18,direct_minio,loghub,minio,minio,False,,,0.0001360021997243166,0.05619200237561017,0.05632800457533449,True,0.0,48,0.0,866.320384,notice,nan,Apache,jk2_init() Found child 6738 in scoreboard slot 6,jk2_init() Found child <*> in scoreboard slot <*>
19,direct_minio,loghub,minio,minio,False,,,0.0001270018401555717,0.056146003771573305,0.05627300561172888,True,0.0,48,0.0,866.320384,notice,nan,Apache,jk2_init() Found child 6741 in scoreboard slot 9,jk2_init() Found child <*> in scoreboard slot <*>
20,direct_minio,loghub,minio,minio,False,,,0.0001320004230365157,0.0554329963051714,0.055564996728207916,True,0.0,48,0.0,866.320384,notice,nan,Apache,jk2_init() Found child 6740 in scoreboard slot 7,jk2_init() Found child <*> in scoreboard slot <*>
21,direct_minio,loghub,minio,minio,False,,,0.0001449952833354473,0.05583299935096875,0.055977994634304196,True,0.0,48,0.0,866.320384,notice,nan,Apache,jk2_init() Found child 6737 in scoreboard slot 8,jk2_init() Found child <*> in scoreboard slot <*>
22,direct_minio,loghub,minio,minio,False,,,0.00012500095181167126,0.05423599941423163,0.0543610003660433,True,0.0,55,0.0,866.32448,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
23,direct_minio,loghub,minio,minio,False,,,0.00012600503396242857,0.05652100662700832,0.05664701166097075,True,0.0,55,0.0,866.32448,notice,nan,Apache,workerEnv.init() ok /etc/httpd/conf/workers2.properties,workerEnv.init() ok <*>
