log_id,router,dataset_name,destination,raw_destination,compliance_forced,routing_latency_ms,backend_write_latency_ms,total_latency_ms,success,energy_cpu_pkg_j,payload_bytes,sensitive,proc_cpu_pct,proc_rss_mb
1,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0016990234144032001,20.249955996405333,20.251655019819736,True,0.447753,55,False,49.3,902.324224
2,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0008379574865102768,9.774393984116614,9.775231941603124,True,0.158508,40,False,0.0,905.773056
3,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00040797749534249306,5.8455829857848585,5.845990963280201,True,0.091979,72,False,0.0,905.777152
4,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00035902485251426697,8.531530969776213,8.531889994628727,True,0.166809,61,False,0.0,905.781248
5,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00040599843487143517,6.754558999091387,6.754964997526258,True,0.089782,47,False,0.0,905.781248
6,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0004259636625647545,5.78140199650079,5.781827960163355,True,0.074767,172,False,0.0,905.78944
7,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00022898893803358078,6.734388996846974,6.7346179857850075,True,0.106507,27,False,0.0,905.78944
8,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.000241969246417284,5.855576018802822,5.855817988049239,True,0.088745,39,False,0.0,905.78944
9,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00026205088943243027,6.650804018136114,6.651066069025546,True,0.091796,40,False,0.0,905.78944
10,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00021100277081131935,5.822437989991158,5.82264899276197,True,0.073792,22,False,0.0,905.78944
11,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00019499566406011581,7.9175279824994504,7.917722978163511,True,0.132201,64,False,0.0,905.78944
12,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0005040201358497143,7.5402199872769415,7.540724007412791,True,0.112732,32,False,0.0,905.78944
13,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0002949964255094528,8.786518010310829,8.786813006736338,True,0.135497,167,False,0.0,905.797632
14,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00021903542801737785,5.862471007276326,5.862690042704344,True,0.092896,46,False,0.0,905.797632
15,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00026798807084560394,6.416787044145167,6.4170550322160125,True,0.087401,49,False,0.0,905.797632
16,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00026496127247810364,5.813336989376694,5.813601950649172,True,0.077026,40,False,171.2,905.797632
17,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00026402994990348816,6.618888990487903,6.619153020437807,True,0.090575,150,False,0.0,905.797632
18,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0002639717422425747,5.736278020776808,5.736541992519051,True,0.086914,121,False,0.0,905.801728
19,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.000225030817091465,6.49673497537151,6.496960006188601,True,0.090149,34,False,0.0,905.801728
20,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00023300526663661003,5.996544961817563,5.996777967084199,True,0.073731,170,False,0.0,905.801728
21,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00023102620616555214,6.842200993560255,6.84243201976642,True,0.097228,26,False,0.0,905.801728
22,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0002300366759300232,5.773223005235195,5.773453041911125,True,0.084778,48,False,0.0,905.801728
23,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00023300526663661003,6.670709000900388,6.670942006167024,True,0.089965,40,False,0.0,905.80992
24,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0002709566615521908,6.109799025580287,6.110069982241839,True,0.10028,29,False,0.0,905.80992
25,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00023102620616555214,5.933782027568668,5.934013053774834,True,0.073669,63,False,0.0,905.80992
26,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00027299392968416214,7.752739998977631,7.7530129929073155,True,0.116211,152,False,0.0,905.80992
27,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00033102696761488914,7.912222994491458,7.912554021459073,True,0.119201,167,False,0.0,905.80992
28,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00031798845157027245,7.746846997179091,7.747164985630661,True,0.10791,46,False,0.0,905.80992
29,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0002139713615179062,7.748034026008099,7.748247997369617,True,0.119994,48,False,0.0,905.80992
30,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00018498394638299942,7.742206973489374,7.742391957435757,True,0.116822,40,False,0.0,905.80992
31,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0002119923010468483,7.289342989679426,7.289554981980473,True,0.111755,34,False,0.0,905.80992
32,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00023999018594622612,7.489179028198123,7.489419018384069,True,0.114135,64,False,0.0,905.80992
33,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00020599691197276115,7.12492800084874,7.125133997760713,True,0.10376,32,False,0.0,905.814016
34,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.0002019805833697319,7.553570030722767,7.553772011306137,True,0.142883,39,False,0.0,905.822208
35,direct_mysql,Loghub-zenodo_Logs,mysql,mysql,False,0.00040797749534249306,7.055227004457265,7.055634981952608,True,0.116271,26,False,0.0,905.822208
