log_id,router,dataset_name,destination,raw_destination,compliance_forced,routing_latency_ms,backend_write_latency_ms,total_latency_ms,success,energy_cpu_pkg_j,payload_bytes,sensitive,proc_cpu_pct,proc_rss_mb
1,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.48491801135241985,19.503493967931718,19.988411979284137,True,0.404052,55,False,51.1,930.316288
2,q_learning,Loghub-zenodo_Logs,ipfs,ipfs,False,0.4197480157017708,0.27456204406917095,0.6943100597709417,True,0.0,40,False,0.0,932.929536
3,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.25956204626709223,5.345509038306773,5.605071084573865,True,0.088928,72,False,0.0,932.929536
4,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2641130122356117,6.37905002804473,6.643163040280342,True,0.112182,61,False,0.0,932.933632
5,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.28993398882448673,6.140434998087585,6.430368986912072,True,0.098388,47,False,0.0,932.933632
6,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.27860701084136963,5.563768034335226,5.8423750451765954,True,0.079529,172,False,0.0,932.937728
7,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2851700410246849,7.466906972695142,7.752077013719827,True,0.096496,27,False,0.0,932.94592
8,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.31377002596855164,8.595841005444527,8.909611031413078,True,0.163391,39,False,115.8,932.9664
9,q_learning,Loghub-zenodo_Logs,ipfs,ipfs,False,0.27427502209320664,0.24645699886605144,0.5207320209592581,True,0.0,40,False,0.0,933.003264
10,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.31564896926283836,9.357639006339014,9.673287975601852,True,0.146911,22,False,0.0,933.011456
11,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3321510157547891,9.411294013261795,9.743445029016584,True,0.174682,64,False,0.0,933.040128
12,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3340639523230493,11.294751020614058,11.628814972937107,True,0.15509,32,False,0.0,933.04832
13,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.32338197343051434,14.095771999564022,14.419153972994536,True,0.187316,167,False,0.0,933.056512
14,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3224050160497427,11.289775022305548,11.612180038355291,True,0.169251,46,False,0.0,933.0688
15,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.28893601847812533,14.17173002846539,14.460666046943516,True,0.210999,49,False,0.0,933.081088
16,q_learning,Loghub-zenodo_Logs,ipfs,ipfs,False,0.24745502742007375,0.13840897008776665,0.3858639975078404,True,0.0,40,False,0.0,933.085184
17,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.24834397481754422,10.74776501627639,10.996108991093934,True,0.148192,150,False,0.0,933.08928
18,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3179109771735966,9.44223499391228,9.760145971085876,True,0.135376,121,False,0.0,933.101568
19,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3048930084332824,14.2695740214549,14.574467029888183,True,0.200866,34,False,0.0,933.113856
20,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.32008200651034713,10.238970979116857,10.559052985627204,True,0.151305,170,False,0.0,933.134336
21,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.34411298111081123,8.250924991443753,8.595037972554564,True,0.126038,26,False,0.0,933.146624
22,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3319939714856446,10.354664991609752,10.686658963095397,True,0.177916,48,False,0.0,933.163008
23,q_learning,Loghub-zenodo_Logs,ipfs,ipfs,False,0.35279401345178485,0.2053729840554297,0.5581669975072145,True,0.0,40,False,4097.0,933.1712
24,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3356609959155321,10.9147559851408,11.250416981056333,True,0.212646,29,False,0.0,933.1712
25,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3502710023894906,5.405818985309452,5.756089987698942,True,0.083618,63,False,0.0,933.187584
26,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2690459950827062,6.243259995244443,6.51230599032715,True,0.087585,152,False,0.0,933.203968
27,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.285996007733047,5.526875960640609,5.812871968373656,True,0.096618,167,False,0.0,933.216256
28,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.29056897619739175,7.064704957883805,7.355273934081197,True,0.116943,46,False,0.0,933.220352
29,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.43821404688060284,5.418521002866328,5.856735049746931,True,0.101746,48,False,0.0,933.240832
30,q_learning,Loghub-zenodo_Logs,ipfs,ipfs,False,0.2964049926958978,0.14144496526569128,0.4378499579615891,True,0.0,40,False,0.0,933.261312
31,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.23595598759129643,6.726275023538619,6.962231011129916,True,0.111145,34,False,0.0,933.277696
32,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2856520004570484,5.335074965842068,5.620726966299117,True,0.073059,64,False,0.0,933.29408
33,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2058229874819517,6.80429203202948,7.0101150195114315,True,0.103394,32,False,0.0,933.298176
34,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2749780542217195,6.385382963344455,6.660361017566174,True,0.085388,39,False,0.0,933.298176
35,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.22709497716277838,5.8043019962497056,6.031396973412484,True,0.097778,26,False,0.0,933.306368
36,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.22950401762500405,5.997907021082938,6.227411038707942,True,0.098022,55,False,0.0,933.310464
37,q_learning,Loghub-zenodo_Logs,ipfs,ipfs,False,0.313267984893173,0.22676895605400205,0.540036940947175,True,0.0,38,False,0.0,933.31456
38,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.24894101079553366,5.663319956511259,5.912260967306793,True,0.091614,77,False,0.0,933.322752
39,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2625079941935837,5.877263960428536,6.13977195462212,True,0.089294,121,False,0.0,933.339136
40,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.21336396457627416,5.757466016802937,5.970829981379211,True,0.188843,34,False,0.0,933.351424
41,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.406573002692312,5.834663985297084,6.241236987989396,True,0.123108,40,False,0.0,933.359616
42,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.38134597707539797,6.029555981513113,6.410901958588511,True,0.098876,57,False,0.0,933.371904
43,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2423050464130938,6.646176043432206,6.8884810898453,True,0.119507,55,False,0.0,933.384192
44,q_learning,Loghub-zenodo_Logs,ipfs,ipfs,False,0.32677798299118876,0.2128069754689932,0.539584958460182,True,0.019348,38,False,0.0,933.388288
45,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.25025795912370086,12.188643973786384,12.438901932910085,True,0.177002,138,False,0.0,933.39648
46,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.30936201801523566,19.793146988376975,20.10250900639221,True,0.247193,121,False,0.0,933.404672
47,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2548379707150161,15.91707399347797,16.171911964192986,True,0.209351,152,False,0.0,933.41696
48,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3317369846627116,12.47220003278926,12.803937017451972,True,0.190857,45,False,0.0,933.421056
49,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3408530028536916,12.460359022952616,12.801212025806308,True,0.173217,46,False,0.0,933.445632
50,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.22228696616366506,12.311738973949105,12.53402594011277,True,0.166747,55,False,0.0,933.449728
51,q_learning,Loghub-zenodo_Logs,ipfs,ipfs,False,0.35468494752421975,0.24763599503785372,0.6023209425620735,True,0.0,34,False,0.0,933.453824
52,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.24847500026226044,7.960713992360979,8.20918899262324,True,0.129821,151,False,0.0,933.466112
53,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.30670000705868006,5.561214056797326,5.867914063856006,True,0.077942,120,False,0.0,933.482496
54,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.26411196449771523,5.928957019932568,6.193068984430283,True,0.08606,19,False,0.0,933.49888
55,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2600879524834454,5.340064002666622,5.600151955150068,True,0.081604,51,False,0.0,933.511168
56,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.20230701193213463,6.63365499349311,6.835962005425245,True,0.112609,57,False,150.0,933.515264
57,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.23596500977873802,4.997793992515653,5.233759002294391,True,0.082764,39,False,0.0,933.515264
58,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.28481800109148026,4.90769901080057,5.1925170118920505,True,0.087403,94,False,0.0,933.51936
59,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2963399747386575,6.225235993042588,6.521575967781246,True,0.090942,153,False,0.0,933.527552
60,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2965509775094688,5.8240239741280675,6.120574951637536,True,0.082336,62,False,0.0,933.53984
61,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.26810704730451107,6.412934977561235,6.6810420248657465,True,0.095825,17,False,0.0,933.56032
62,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.2658700104802847,5.151172983460128,5.417042993940413,True,0.078003,49,False,0.0,933.572608
63,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.21196703892201185,6.686573964543641,6.8985410034656525,True,0.122741,46,False,0.0,933.5808
64,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.24924497120082378,4.991277004592121,5.240521975792944,True,0.133057,39,False,0.0,933.5808
65,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.33227098174393177,4.994625982362777,5.326896964106709,True,0.141235,94,False,0.0,933.588992
66,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.35699899308383465,6.530279002618045,6.887277995701879,True,0.220336,167,False,0.0,933.597184
67,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.36796199856325984,5.75135595863685,6.11931795720011,True,0.104614,74,False,172.7,933.605376
68,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.3326449659653008,5.925708974245936,6.2583539402112365,True,0.076111,100,False,0.0,933.613568
69,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.28401397867128253,5.607158993370831,5.8911729720421135,True,0.082947,45,False,0.0,933.629952
70,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.20836200565099716,6.3036109786480665,6.511972984299064,True,0.102172,26,False,0.0,933.638144
71,q_learning,Loghub-zenodo_Logs,elk,elk,False,0.2594080287963152,5.485520989168435,5.7449290179647505,True,0.099121,39,False,0.0,933.646336
72,q_learning,Loghub-zenodo_Logs,ipfs,ipfs,False,0.329189992044121,0.22159499349072576,0.5507849855348468,True,0.024109,35,False,0.0,933.654528
73,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.23803499061614275,5.585736013017595,5.823771003633738,True,0.085083,152,False,0.0,933.666816
74,q_learning,Loghub-zenodo_Logs,mysql,mysql,False,0.25767897022888064,6.329005002044141,6.586683972273022,True,0.095886,76,False,0.0,933.679104
