dataset,method,destination,fraction
Loghub-zenodo_Logs,a2c,elk,0.39071428571428574
Loghub-zenodo_Logs,a2c,ipfs,0.19535714285714287
Loghub-zenodo_Logs,a2c,mysql,0.4139285714285714
Loghub-zenodo_Logs,direct_elk,elk,1.0
Loghub-zenodo_Logs,direct_ipfs,ipfs,1.0
Loghub-zenodo_Logs,direct_mysql,mysql,1.0
Loghub-zenodo_Logs,q_learning,elk,0.31135714285714283
Loghub-zenodo_Logs,q_learning,ipfs,0.18092857142857144
Loghub-zenodo_Logs,q_learning,mysql,0.5077142857142857
Loghub-zenodo_Logs,static,elk,0.23307142857142857
Loghub-zenodo_Logs,static,ipfs,0.1672142857142857
Loghub-zenodo_Logs,static,mysql,0.5997142857142858
Synthetic_Datacenter_Logs,a2c,elk,0.347185
Synthetic_Datacenter_Logs,a2c,ipfs,0.18201
Synthetic_Datacenter_Logs,a2c,mysql,0.470805
Synthetic_Datacenter_Logs,direct_elk,elk,1.0
Synthetic_Datacenter_Logs,direct_ipfs,ipfs,1.0
Synthetic_Datacenter_Logs,direct_mysql,mysql,1.0
Synthetic_Datacenter_Logs,q_learning,elk,0.281025
Synthetic_Datacenter_Logs,q_learning,ipfs,0.167115
Synthetic_Datacenter_Logs,q_learning,mysql,0.55186
Synthetic_Datacenter_Logs,static,elk,0.21373
Synthetic_Datacenter_Logs,static,ipfs,0.126855
Synthetic_Datacenter_Logs,static,mysql,0.659415
