dataset,method,p10,p50,p90
Loghub-zenodo_Logs,a2c,4.9603770479331235,11.86269983367179,58.67080956510618
Loghub-zenodo_Logs,direct_elk,8.274523613880918,15.94501347583881,23.663622639693948
Loghub-zenodo_Logs,direct_ipfs,34.81736193173125,60.338017566106444,85.97268460164385
Loghub-zenodo_Logs,direct_mysql,3.7310508577713484,7.000767887440724,10.23040481197644
Loghub-zenodo_Logs,q_learning,4.643075995327822,9.95843133531218,57.300733707978544
Loghub-zenodo_Logs,static,4.513589579623587,8.922592100004673,55.33396781181235
Synthetic_Datacenter_Logs,a2c,5.560584869061422,11.625387419968343,63.559318897369295
Synthetic_Datacenter_Logs,direct_elk,9.942637264206766,17.603368589362375,25.31871106955717
Synthetic_Datacenter_Logs,direct_ipfs,40.46212790339618,65.9996240873862,91.56635349240217
Synthetic_Datacenter_Logs,direct_mysql,4.491358751318974,7.698091617381284,10.903148599402693
Synthetic_Datacenter_Logs,q_learning,5.3057478611492295,10.272600417271889,60.54064091906683
Synthetic_Datacenter_Logs,static,5.071193333181638,9.245450167641422,49.809138616104185
