dataset,method,p10,p50,p90
Loghub-zenodo_Logs,a2c,0.7449607676780589,1.1964323660170937,1.6497162458950334
Loghub-zenodo_Logs,direct_elk,0.15,0.19976694876278334,0.30414094472115755
Loghub-zenodo_Logs,direct_ipfs,0.15,0.2006433738923572,0.30107958316533634
Loghub-zenodo_Logs,direct_mysql,0.15,0.20147991024080092,0.30089481647831745
Loghub-zenodo_Logs,q_learning,0.5130987357709468,0.8988231137138203,1.2830049737909341
Loghub-zenodo_Logs,static,0.2740851448002997,0.600724788366848,0.9229367588079009
Synthetic_Datacenter_Logs,a2c,0.7503991341645074,1.1992578700228873,1.6458999442700948
Synthetic_Datacenter_Logs,direct_elk,0.15,0.19995622589513407,0.3021015067475294
Synthetic_Datacenter_Logs,direct_ipfs,0.15,0.1999280666528899,0.30197187390470126
Synthetic_Datacenter_Logs,direct_mysql,0.15,0.2002201645670939,0.30240265433012053
Synthetic_Datacenter_Logs,q_learning,0.5161397256620659,0.9002361276536841,1.2841712366920706
Synthetic_Datacenter_Logs,static,0.2801944967032525,0.5994907033471877,0.9197601974578582
