dataset,method,p10,p50,p90
Loghub-zenodo_Logs,a2c,6.1256310492009165,13.069157484293424,59.981548740492265
Loghub-zenodo_Logs,direct_elk,8.483675651517908,16.171698675127047,23.880517039571423
Loghub-zenodo_Logs,direct_ipfs,35.02549527442019,60.55167579110913,86.18160542010283
Loghub-zenodo_Logs,direct_mysql,3.9372905075179965,7.2148075858333325,10.441291280220694
Loghub-zenodo_Logs,q_learning,5.5080123042728,10.857659628049074,58.2082174395306
Loghub-zenodo_Logs,static,5.080607537460072,9.522802771980063,55.90634672839071
Synthetic_Datacenter_Logs,a2c,6.74315399981949,12.848270201220627,64.74950208910394
Synthetic_Datacenter_Logs,direct_elk,10.1557460720253,17.8177799857895,25.53141571004394
Synthetic_Datacenter_Logs,direct_ipfs,40.67219490637953,66.20583250383606,91.7746917163148
Synthetic_Datacenter_Logs,direct_mysql,4.703276053343382,7.911449292226191,11.115680720208697
Synthetic_Datacenter_Logs,q_learning,6.19172594152428,11.191631102364637,61.4484714729377
Synthetic_Datacenter_Logs,static,5.657664795745209,9.855883903786433,50.42808535622597
