dataset,method,destination,fraction
Loghub-zenodo_Logs,a2c,elk,0.33676871779327067
Loghub-zenodo_Logs,a2c,ipfs,0.5022734161867233
Loghub-zenodo_Logs,a2c,mysql,0.16095786602000606
Loghub-zenodo_Logs,direct_elk,elk,1.0
Loghub-zenodo_Logs,direct_ipfs,ipfs,1.0
Loghub-zenodo_Logs,direct_mysql,mysql,1.0
Loghub-zenodo_Logs,q_learning,elk,0.3592777085927771
Loghub-zenodo_Logs,q_learning,ipfs,0.45049813200498134
Loghub-zenodo_Logs,q_learning,mysql,0.1902241594022416
Loghub-zenodo_Logs,static,elk,0.35446153846153844
Loghub-zenodo_Logs,static,ipfs,0.39046153846153847
Loghub-zenodo_Logs,static,mysql,0.2550769230769231
Synthetic_Datacenter_Logs,a2c,elk,0.3181883177236005
Synthetic_Datacenter_Logs,a2c,ipfs,0.4981232573103596
Synthetic_Datacenter_Logs,a2c,mysql,0.1836884249660399
Synthetic_Datacenter_Logs,direct_elk,elk,1.0
Synthetic_Datacenter_Logs,direct_ipfs,ipfs,1.0
Synthetic_Datacenter_Logs,direct_mysql,mysql,1.0
Synthetic_Datacenter_Logs,q_learning,elk,0.33255319915025383
Synthetic_Datacenter_Logs,q_learning,ipfs,0.44638677852590647
Synthetic_Datacenter_Logs,q_learning,mysql,0.2210600223238397
Synthetic_Datacenter_Logs,static,elk,0.3526615969581749
Synthetic_Datacenter_Logs,static,ipfs,0.2996986871368104
Synthetic_Datacenter_Logs,static,mysql,0.3476397159050147
